season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press
2022,1631128,Christian,Braun,Christian Braun,SG,77.5,79.0,209.2,78.5,99.5,6.2,8.0,8.5,33.5,40.0,11.0,3.13,3.16,10.0
2022,1631102,TyTy,Washington Jr.,TyTy Washington Jr.,SG,74.25,75.75,196.4,80.0,99.5,12.0,8.5,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1631101,Shaedon,Sharpe,Shaedon Sharpe,SG,76.25,77.25,198.0,83.5,103.5,4.8,9.0,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1631100,AJ,Griffin,AJ Griffin,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2022,1631099,Keegan,Murray,Keegan Murray,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631133,Jabari,Walker,Jabari Walker,PF,78.75,80.0,213.8,82.75,105.0,12.1,8.75,9.75,29.5,32.5,11.53,3.12,3.24,12.0
2022,1631132,Christian,Koloko,Christian Koloko,C,82.75,84.0,221.0,89.25,113.0,5.7,9.0,10.75,28.0,33.5,11.3,3.19,3.27,11.0
2022,1631095,Jabari,Smith,Jabari Smith,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631094,Paolo,Banchero,Paolo Banchero,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631093,Jaden,Ivey,Jaden Ivey,PG,73.0,74.0,186.0,77.5,97.0,6.1,8.25,9.0,29.5,36.0,11.004999999999999,3.0599999999999996,3.21,8.0
2022,1630855,Fanbo,Zeng,Fanbo Zeng,SF-PF,79.0,80.125,222.0,83.875,105.5,6.65,8.75,9.375,29.5,33.5,11.355,2.8449999999999998,3.315,10.0
2022,1631125,Josh,Minnott,Josh Minnott,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631120,JD,Davison,JD Davison,PG,72.5,74.5,191.8,78.5,99.5,7.8,8.5,9.5,30.0,37.0,11.38,3.23,3.26,8.0
2022,1631121,Bryce,McGowens,Bryce McGowens,SG,77.25,78.5,181.2,80.75,103.5,5.4,8.75,9.5,29.5,34.0,11.12,3.16,3.27,10.0
2022,1631117,Walker,Kessler,Walker Kessler,C,84.25,85.0,256.0,88.25,113.0,14.7,8.5,8.5,27.0,30.5,12.03,3.26,3.42,11.0
2022,1631119,Jaylin,Williams,Jaylin Williams,C,80.75,82.0,236.6,85.0,108.5,8.0,8.5,10.5,24.5,30.0,11.64,3.1,3.5,11.0
2022,1631110,Jeremy,Sochan,Jeremy Sochan,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2022,1631109,Mark,Williams,Mark Williams,C,84.0,86.0,242.4,90.5,117.0,5.4,9.0,9.75,27.0,30.5,12.03,3.26,3.42,11.0
2022,1631116,Patrick,Baldwin Jr.,Patrick Baldwin Jr.,SF,81.25,82.25,230.8,85.75,110.5,8.9,8.75,9.5,23.5,26.5,12.25,3.3,3.45,10.0
2022,1631115,Orlando,Robinson,Orlando Robinson,C,81.75,83.0,244.4,88.0,111.0,9.5,8.75,10.0,23.0,27.5,11.4,3.23,3.55,11.0
2022,1631199,Ron,Harper Jr.,Ron Harper Jr.,SF,76.0,77.5,240.4,85.25,105.5,14.3,9.5,10.0,26.0,30.5,11.41,3.24,3.4,10.0
2022,1631198,Aminu,Mohammed,Aminu Mohammed,SG-SF,75.5,77.0,212.8,83.0,104.0,5.1,8.75,9.5,29.5,36.0,11.54,3.04,3.33,9.0
2022,1631197,Jared,Rhoden,Jared Rhoden,SG-SF,76.875,78.2,206.1,82.0,103.0,6.7,8.75,9.5,30.0,35.5,11.3,3.14,3.23,9.0
2022,1631111,Wendell,Moore,Wendell Moore,SG,76.25,77.5,217.2,84.5,101.0,7.5,8.75,10.25,32.5,38.5,10.94,3.21,3.3,10.0
2022,1631165,Keon,Ellis,Keon Ellis,SG,75.5,76.75,167.4,80.5,102.0,3.8,8.0,9.25,28.0,35.5,10.87,3.02,3.18,10.0
2022,1631108,Max,Christie,Max Christie,SG,76.25,77.75,189.2,80.75,102.5,4.8,8.0,8.5,32.0,37.5,10.82,3.02,3.07,10.0
2022,1631168,Jean,Montero,Jean Montero,PG,73.0,74.25,171.8,77.25,98.5,7.4,8.0,8.75,29.5,37.0,11.19,3.17,3.17,8.0
2022,1631221,Collin,Gillespie,Collin Gillespie,PG,73.5,74.75,195.8,76.0,98.0,8.6,8.25,9.0,26.5,33.0,10.95,3.01,3.21,8.0
2022,1631157,Ryan,Rollins,Ryan Rollins,SG,74.0,75.25,179.2,81.75,100.5,5.0,8.0,8.5,30.5,36.5,11.26,3.28,3.07,10.0
2022,1631164,Matteo,Spagnolo,Matteo Spagnolo,PG,76.0,77.5,196.2,80.0,102.0,8.6,8.25,10.0,25.5,31.5,11.42,3.16,3.4,8.0
2022,1631258,Bryson,Williams,Bryson Williams,PF-C,81.25,82.25,243.3,86.25,108.5,8.3,9.25,10.0,28.5,33.25,11.64,3.12,3.33,12.0
2022,1631171,Justin,Lewis,Justin Lewis,PF,78.25,79.5,235.4,86.5,105.5,7.3,9.0,10.5,32.5,35.0,11.49,3.02,3.23,12.0
2022,1631172,Ousmane,Dieng,Ousmane Dieng,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2022,1631254,Kenneth,Lofton Jr.,Kenneth Lofton Jr.,PF-C,81.25,82.25,243.3,86.25,108.5,8.3,9.25,10.0,28.5,33.25,11.64,3.12,3.33,12.0
2022,1630604,E.J.,Liddell,E.J. Liddell,PF,77.5,79.0,243.0,83.75,103.5,12.2,8.25,9.25,35.5,38.0,11.11,3.23,3.26,12.0
2022,1630594,Kofi,Cockburn,Kofi Cockburn,C,83.0,84.0,293.0,88.25,110.5,8.2,9.75,10.25,29.5,32.5,12.11,3.31,3.33,11.0
2022,1630548,Johnny,Juzang,Johnny Juzang,SG,77.25,78.5,208.6,83.0,102.5,7.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29,10.0
2022,1630534,Ochai,Agbaji,Ochai Agbaji,SG,76.5,77.75,216.8,82.25,104.0,5.4,8.75,9.5,32.0,39.0,10.77,3.11,3.13,10.0
2022,1630700,Dyson,Daniels,Dyson Daniels,SG,78.0,79.5,195.2,82.5,105.0,4.9,8.5,9.75,29.0,34.0,10.81,2.81,3.22,10.0
2022,1630701,Michael,Foster Jr.,Michael Foster Jr.,C,79.75,81.25,236.6,84.25,109.5,6.2,8.75,10.0,28.0,32.5,11.49,3.1,3.22,11.0
2022,1630699,MarJon,Beauchamp,MarJon Beauchamp,SG,77.25,78.5,196.6,84.75,106.0,5.3,9.0,9.0,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1630702,Jaden,Hardy,Jaden Hardy,SG,75.75,77.25,200.9,80.75,101.0,6.1,8.5,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2022,1629614,Andrew,Nembhard,Andrew Nembhard,PG,75.0,76.5,195.6,77.75,99.0,4.4,8.0,9.5,26.5,35.0,10.46,3.02,3.26,8.0
